"species"	"IUCN_TS_sum.x"	"IUCN_TS_sum_InclOld.x"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"FD_G"	"ED"	"FDcat"	"EDcat"	"REC"	"OLD"	"PRED"	"Subset2"	"RLa"	"RLro"	"RLr"	"RLa_MLp_BS"	"RLro_MLpr_BS"	"RLr_MLpr_BS"	"RLa_MLp_WS"	"RLro_MLpr_WS"	"RLr_MLpr_WS"	"RLro_MLpr_EG_BS"	"RLro_MLpr_EG_WS"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"AOO2km"	"EOO_rCAT_conR2"	"HFI"	"HPD"	"FLO"	"bio4"	"bio15"	"Tflex_mean"	"Pflex_mean"	"ECO"	"TDWG3"	"preds"	"IUCN_TS_detail"	"IUCN_TS_sum.y"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld.y"
"Hydriastele pinangoides"	"NE"	"NE"	"PREDICTED"	"LC"	"0.158"	"0.842"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"1.84"	"1.3"	"0.6"	"0.245044226980004"	"1.3"	"0.6"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"LC"	"0.245649686758931"	"0.754350313241069"	"NA"	"LC"	"LC"	"LC"	"LC"	0.21845294060935	"4.81834473746701"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	76	52	59	296	1021895.23082032	16.2639952898026	29.6958958914405	0.0349098168249168	57.5592171518426	23.4070187367891	0.822240474072188	0.511472754618025	11	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Hydriastele pleurocarpa"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"LC"	"NA"	"NA"	"NA"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	0.218892636939293	"6.78434403382105"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Hydriastele procera"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.962"	"0.038"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.739527044630763"	"0.260472955369237"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.219256795874945	"6.7213747785221"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	16.9635562896729	3.61794877052307	0.0561233200132847	74.3240432739258	21.129789352417	0.849461068515997	0.508250825082508	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Hydriastele ramsayi"	"NE"	"NE"	"PREDICTED"	"LC"	"0.402"	"0.598"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"3.42"	"1.5"	"0.8"	"0.502654824574367"	"1.5"	"0.8"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.500531005919714"	"0.499468994080286"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.220396327424168	"8.95631856300366"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"	375	44	80	620	115600.96611783	6.01985316300392	0.0957712593941606	0.00289986200561786	157.522760091146	108.398734354655	0.783804744633373	0.00489420483517924	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Hydriastele rheophytica"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"EAsiaPacific"	"E"	"0"	"1.5"	"0.65"	"NA"	"NA"	"0.65"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.240650206266479	"6.86640485890539"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Hydriastele rhopalocarpa"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.894"	"0.106"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"0.93"	"1.3"	"0.7"	"0.333532420056116"	"1.3"	"0.7"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.738170898575445"	"0.261829101424555"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.266690543517994	"4.74006471178248"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	8.16663551330566	21.7720203399658	0.0588376596570015	90.1457214355469	25.3816986083984	0.80562793153016	0.425316455696203	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Hydriastele rostrata"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"LC"	"NA"	"NA"	"NA"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"1.97"	"0.9"	"0.8"	"0.30159289474462"	"0.9"	"0.8"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	0.241956764947923	"6.65378023075937"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Hydriastele sarasinorum"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"EAsiaPacific"	"E"	"0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.219256795874945	"6.69744432200216"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Hydriastele selebica"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"EAsiaPacific"	"E"	"0"	"NA"	"0.8"	"0.4"	"0.0670206432765823"	"0.8"	"0.4"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.240191867561688	"6.92731023387699"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Hydriastele valida"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.828"	"0.172"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"2.9"	"1.1"	"0.7"	"0.282219740047483"	"1.1"	"0.7"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.744042082724478"	"0.255957917275522"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.216681000293771	"6.65230470370931"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	2	1	1	8	NA	16.3378639221191	13.3502378463745	0.0142938066273928	21.5699157714844	24.6117286682129	0.846014853034591	0.442176870748299	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Hydriastele variabilis"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.818"	"0.182"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"1.7"	"1.1"	"0.7"	"0.282219740047483"	"1.1"	"0.7"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.686169964578882"	"0.313830035421118"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.242186768179669	"6.71070912231038"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	12	9	9	44	25510.2593943964	13.0117272933324	71.6738700469335	0.0734328355174512	34.8376893997192	21.2233064969381	0.851974061217096	0.543330087633886	2	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Hydriastele vitiensis"	"nonLC"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"3.31"	"1"	"NA"	"NA"	"1"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.218722370452389	"4.19651933177957"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_noOcc"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"VU"	"nonLC"	"VU"	"nonLC"
"Hydriastele wendlandiana"	"NE"	"NE"	"PREDICTED"	"LC"	"0.226"	"0.774"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"3.3"	"0.9"	"0.65"	"0.199098434421253"	"0.9"	"0.65"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"NO"	"LC"	"0.157087986003236"	"0.842912013996764"	"NA"	"LC"	"LC"	"LC"	"LC"	0.220885118255141	"6.29215035495744"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	429	102	180	1240	1668691.89088562	8.91468234400691	2.44707802977817	0.0232061161231793	183.705856198753	104.865910856874	0.744445836785538	0.0142258890311091	6	3	"YES"	"NE"	"NE"	"NE"	"NE"
"Hyophorbe amaricaulis"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.956"	"0.044"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	"0"	"NA"	"3.8"	"3.4"	"23.0006470144821"	"3.8"	"3.4"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"nonLC"	"0.742058356057952"	"0.257941643942048"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.215232663227643	"14.5034589257206"	"NO"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	57.1438102722168	689.554870605469	0.0344957858324051	219.725708007812	50.3929634094238	0.786711588684992	0.231617647058824	1	1	"YES"	"NE"	"NE"	"CR"	"nonLC"
"Hyophorbe indica"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	"0"	"3.61"	"2.3"	"1.05"	"1.32771559522339"	"2.3"	"1.05"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.214953442829028	"13.5889386957356"	"NO"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"EN"	"nonLC"
"Hyophorbe lagenicaulis"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.818"	"0.182"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	"0"	"3.22"	"3.15"	"NA"	"NA"	"3.15"	"NA"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.744073985175396"	"0.255926014824604"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.222064879842676	"17.9011007300203"	"NO"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	1	1	1	4	NA	66.8282623291016	874.485656738281	0.0171735621988773	207.414306640625	55.4108963012695	0.791562124236829	0.200757575757576	1	1	"YES"	"NE"	"NE"	"CR"	"nonLC"
"Hyophorbe vaughanii"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	"0"	"NA"	"4"	"3"	"18.8495559215388"	"4"	"3"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.215358992356549	"14.2349642457626"	"NO"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"CR"	"nonLC"
"Hyophorbe verschaffeltii"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"AfricaWAsia"	"E"	"0"	"3.22"	"2"	"0.9"	"0.848230016469244"	"2"	"0.9"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.215431727672465	"15.4029748809175"	"NO"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"CR"	"nonLC"
"Hyospathe elegans"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.068"	"0.932"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"0"	"NA"	"1.15"	"0.75"	"0.33870295796515"	"1.15"	"0.75"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"LC"	"0.125766204278605"	"0.874233795721395"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	0.2118215390564	"14.3004337803023"	"NO"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"LC"	"LC"	"LC"	"LC"	764	359	475	2620	7485559.27576076	15.1111270455297	26.3395630972806	0.053187429408506	53.9859745989295	32.118988751741	0.804659493871543	0.399454614797865	41	11	"YES"	"NE"	"NE"	"Threatened"	"nonLC"
"Hyospathe frontinensis"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.752"	"0.248"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"0"	"NA"	"0.9"	"0.61"	"0.175347993960114"	"0.9"	"0.61"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.691099047680724"	"0.308900952319276"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.266939377525943	"14.3727332741038"	"YES"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	12	3	4	32	10321.1485297435	25.2545479138692	22.5040353139242	0.0175726235223313	30.5123337109884	38.1837177276611	0.813890502039943	0.256685714285714	3	1	"YES"	"NE"	"NE"	"Threatened"	"nonLC"
"Hyospathe macrorhachis"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.622"	"0.378"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"0"	"1.63"	"0.93"	"0.65"	"0.205735048901962"	"0.93"	"0.65"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.717544616902714"	"0.282455383097286"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.241026075094728	"14.5048504153555"	"NO"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	13	8	10	48	13351.7555193436	19.4616669141329	10.8921845692855	0.0289660957015048	37.1591974405142	25.9520684755765	0.793252743537882	0.463987051524143	1	1	"YES"	"NE"	"NE"	"NT"	"nonLC"
"Hyospathe peruviana"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.858"	"0.142"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"0"	"NA"	"0.875"	"0.705"	"0.227711471261526"	"0.875"	"0.705"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.733472650766887"	"0.266527349233113"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.233929589015126	"14.3029836493784"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	8	3	3	16	3143.85745159052	20.4830584526062	11.5141808390617	0.0527066716458648	38.3866028785706	33.8060944080353	0.761901672271537	0.344827586206897	1	1	"YES"	"NE"	"NE"	"NE"	"NE"
"Hyospathe pittieri"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Americas"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NE"	"NE"
"Hyospathe wendlandiana"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.792"	"0.208"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"0"	"NA"	"1.125"	"0.6"	"0.212057504117311"	"1.125"	"0.6"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.734977414635118"	"0.265022585364882"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.240800045437569	"NA"	"NO"	"NA"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	5	3	3	20	588.094098774767	32.9076164245605	34.8794124603271	0.0395906381309032	43.3943840026855	34.3529968261719	0.817101279366832	0.316619718309859	1	1	"YES"	"NE"	"NE"	"Threatened"	"nonLC"
"Hyphaene compressa"	"LC"	"LC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"AfricaWAsia"	"E"	"1"	"2.75"	"8.5"	"6.5"	"188.037410286739"	"8.5"	"6.5"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.251269094778328	"10.5720553120496"	"NO"	"YES"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	19	15	15	76	516300.780773406	27.2800550962749	276.605832087366	0.0678622273966252	136.187161897358	81.4339828491211	0.777804793868811	0.0478657784357268	6	5	"YES"	"LC"	"LC"	"LC"	"LC"
"Hyphaene coriacea"	"LC"	"LC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"AfricaWAsia"	"E"	"1"	"1.92"	"4.5"	"3.25"	"24.8873043026566"	"4.5"	"3.25"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.231635397327277	"11.0403211450186"	"NO"	"YES"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	60	48	51	236	4095602.21415835	27.7973958492279	125.73139365601	0.0631007530974633	207.5013159434	81.0319797515869	0.7146589481067	0.0780391294790064	13	9	"YES"	"LC"	"LC"	"LC"	"LC"
"Hyphaene dichotoma"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"1"	"NA"	"7"	"6"	"131.946891450771"	"7"	"6"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NA"	"NA"	"YES"	"YES"	"YES"	"YES"	"NO"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.247711765169194	"11.3226293959296"	"NO"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO"	"NE"	"NE"	"NT"	"nonLC"
