"species"	"Americas"	"AfricaWAsia"	"EAsiaPacific"	"Climbing"	"Acaulescent"	"Erect"	"StemSolitary"	"StemArmed"	"LeavesArmed"	"MaxStemHeight_m"	"MaxStemDia_cm"	"UnderstoreyCanopy"	"MaxLeafNumber"	"Max_Blade_Length_m"	"Max_Rachis_Length_m"	"Max_Petiole_length_m"	"AverageFruitLength_cm"	"MinFruitLength_cm"	"MaxFruitLength_cm"	"AverageFruitWidth_cm"	"MinFruitWidth_cm"	"MaxFruitWidth_cm"	"FruitSizeCategorical"	"FruitShape"	"Conspicuousness"	"AnimalFood"	"EnvironmentalUses"	"Fuels"	"GeneSources"	"HumanFood"	"InvertebrateFood"	"Materials"	"Medicines"	"Poisons"	"SocialUses"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"
"Copernicia curtissii"	1	0	0	0	0	1	"2"	0	1	7	25	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"globose"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"LC"	"PREDICTED"	"nonLC"	"0.922"	"0.078"	NA	"LC"	"LC"	"nonLC"	"LC"	"nonLC"	"Americas"	"E"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia ekmanii"	1	0	0	0	0	1	"1"	0	1	12	20	"canopy"	NA	NA	NA	NA	2	NA	NA	1.7	NA	NA	"small"	"elongate"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.978"	"0.022"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	2	1.7	3.02640092295817	2	1.7	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia fallaensis"	1	0	0	0	0	1	"1"	0	NA	20	80	"canopy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"globose"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia gigas"	1	0	0	0	0	1	"1"	0	1	20	50	"canopy"	NA	1	NA	NA	2.1	NA	NA	2.1	2	2.2	"small"	"ovoid"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	2.1	2.1	4.84904826081585	2.1	2.1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Copernicia glabrescens"	1	0	0	0	0	1	"2"	0	0	6	15	"canopy"	NA	1.25	0.75	0.55	1.85	NA	NA	1.85	1.7	2	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"LC"	"NO_ML"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	1.8	1.85	1.85	3.31523109754758	1.85	1.85	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Copernicia hospita"	1	0	0	0	0	1	"2"	0	1	8	30	"canopy"	40	1.2	NA	NA	1.85	NA	NA	1.85	1.7	2	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"LC"	"NO_ML"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	1.85	1.85	3.31523109754758	1.85	1.85	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Copernicia humicola"	1	0	0	0	0	1	"NA"	0	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Americas"	"E"	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia longiglossa"	1	0	0	0	0	1	"NA"	0	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Americas"	"E"	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia macroglossa"	1	0	0	0	0	1	"1"	0	1	9.1	20	"canopy"	NA	NA	NA	NA	1.75	NA	NA	1.75	1.5	2	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"LC"	"NO_ML"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	NA	1.75	1.75	2.80616218797213	1.75	1.75	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia molinetii"	1	0	0	0	0	1	"NA"	0	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Americas"	"E"	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia oxycalyx"	1	0	0	0	0	1	"NA"	0	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"globose"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Americas"	"E"	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia prunifera"	1	0	0	0	0	1	"1"	0	1	15	25	"canopy"	40	0.95	NA	1.14	2.7	NA	NA	2.2	NA	NA	"small"	"ovoid"	"cryptic"	1	1	0	0	1	0	1	1	0	0	"NE"	"NE"	"PREDICTED"	"LC"	"0.118"	"0.882"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	2.09	2.7	2.2	6.84238879951857	2.7	2.2	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"
"Copernicia rigida"	1	0	0	0	0	1	"1"	0	1	15	36	"canopy"	NA	1.2	1.45	0.17	1.8	NA	NA	1.8	1.7	1.9	"small"	"ovoid"	"cryptic"	0	0	0	0	0	0	1	0	0	0	"NE"	"LC"	"NO_ML"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	1.37	1.8	1.8	3.05362805928928	1.8	1.8	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	"YES"	"NO"	"YES"	"NO"	"NO"
"Copernicia roigii"	1	0	0	0	0	1	"NA"	0	NA	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"LC"	"NO_ML"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	NA	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Copernicia tectorum"	1	0	0	0	0	1	"1"	0	0	10	30	"canopy"	25	1	NA	NA	2.75	2.5	3	1.75	1.5	2	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	0	NA	2.75	1.75	4.40968343824192	2.75	1.75	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Copernicia yarey"	1	0	0	0	0	1	"1"	0	NA	8	15	"canopy"	NA	1.3	1.4	1.35	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.94"	"0.06"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	NA	2.65	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Corypha lecomtei"	0	0	1	0	0	1	"1"	0	1	5	100	"understorey"	25	3.4	2	NA	7.5	7	8	6.5	6	7	"large"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"LC"	"0.374"	"0.626"	NA	NA	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	1	NA	7.5	6.5	165.915362017711	7.5	6.5	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Corypha microclada"	0	0	1	0	0	1	"1"	0	1	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Corypha taliera"	0	0	1	0	0	1	"1"	0	1	10	70	"canopy"	NA	4	6	2.75	4	NA	NA	4	NA	NA	"large"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	1	6.75	4	4	33.5103216382911	4	4	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Corypha umbraculifera"	0	0	1	0	0	1	"1"	0	1	25	100	"canopy"	35	4	7	3.75	4	NA	NA	4	3.5	4.5	"large"	"ovoid"	"cryptic"	0	1	0	0	1	0	1	1	0	0	"NE"	"NE"	"NO_ML"	NA	NA	NA	"LC"	NA	NA	NA	"LC"	"LC"	"EAsiaPacific"	"E"	1	7.75	4	4	33.5103216382911	4	4	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"
"Corypha utan"	0	0	1	0	0	1	"1"	0	1	30	100	"canopy"	30	3.65	3	3.75	2.5	NA	NA	2.25	1.5	3	"small"	"ovoid"	"cryptic"	1	1	0	0	1	1	1	1	1	1	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	1	7.4	2.5	2.25	6.62679700366597	2.5	2.25	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"
"Cryosophila bartlettii"	1	0	0	0	0	1	"1"	1	0	NA	NA	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.928"	"0.072"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	NA	NA	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cryosophila cookii"	1	0	0	0	0	1	"1"	1	0	14	20	"canopy"	35	NA	NA	NA	2	NA	NA	1.3	NA	NA	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.806"	"0.194"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	2	1.3	1.76976386152225	2	1.3	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Cryosophila grayumii"	1	0	0	0	0	1	"2"	1	0	5	9	"understorey"	32	NA	NA	NA	1.6	1.2	2	1.3	1	1.6	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.548"	"0.452"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	1	NA	1.6	1.3	1.4158110892178	1.6	1.3	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Cryosophila guagara"	1	0	0	0	0	1	"1"	1	0	10	13	"canopy"	28	1.2	NA	NA	1.65	NA	NA	1.65	1.3	2	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.306"	"0.694"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	1	NA	1.65	1.65	2.35207114983451	1.65	1.65	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cryosophila kalbreyeri"	1	0	0	0	0	1	"2"	1	0	5	11	"understorey"	32	1.83	NA	1.51	1.55	1.2	1.9	1.1	NA	NA	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.202"	"0.798"	NA	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	1	3.34	1.55	1.1	0.98200950363461	1.55	1.1	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cryosophila macrocarpa"	1	0	0	0	0	1	"1"	1	0	5	12	"understorey"	30	NA	NA	NA	3.35	3.1	3.6	2.75	2.6	2.9	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.968"	"0.032"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	3.35	2.75	13.2650477305482	3.35	2.75	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Cryosophila nana"	1	0	0	0	0	1	"1"	1	0	5	10	"understorey"	13	1.3	NA	NA	1.55	NA	NA	1.55	1.2	1.9	"small"	"globose"	"cryptic"	0	1	0	0	0	0	1	0	0	0	"NE"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	1.55	1.55	1.94981639048112	1.55	1.55	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
"Cryosophila stauracantha"	1	0	0	0	0	1	"1"	1	0	10	12	"canopy"	26	1.5	1.2	1.35	1.25	1.1	1.4	1.25	1.1	1.4	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"LC"	"0.196"	"0.804"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	2.85	1.25	1.25	1.02265385859043	1.25	1.25	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cryosophila warscewiczii"	1	0	0	0	0	1	"1"	1	0	12	15	"canopy"	27	1.5	2	2.6	2.3	2	2.6	2.05	1.8	2.3	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"LC"	"0.22"	"0.78"	NA	NA	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	1	4.1	2.3	2.05	5.06097486523926	2.3	2.05	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cryosophila williamsii"	1	0	0	0	0	1	"1"	1	0	7	10	"canopy"	25	NA	NA	NA	1.55	1.3	1.8	1.4	1.3	1.5	"small"	"ovoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.858"	"0.142"	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	1	NA	1.55	1.4	1.59069308026763	1.55	1.4	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Cyphokentia cerifera"	0	0	1	0	0	1	"1"	0	0	20	18	"canopy"	10	2.02	1.8	0.24	1.2	1.1	1.3	1.3	1.2	1.4	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	2.26	1.2	1.3	0.980176907920015	1.3	1.2	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyphokentia macrostachya"	0	0	1	0	0	1	"1"	0	0	15	15	"canopy"	15	2.5	2.3	0.22	1.25	1	1.5	0.8	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	2.72	1.25	0.8	0.418879020478639	1.25	0.8	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyphophoenix alba"	0	0	1	0	0	1	"1"	0	0	10	12	"canopy"	NA	NA	NA	NA	1.6	NA	NA	1.25	1.2	1.3	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	NA	1.6	1.25	1.30899693899575	1.6	1.25	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cyphophoenix elegans"	0	0	1	0	0	1	"1"	0	0	15	14	"canopy"	10	2.5	2	0.55	1.95	1.9	2	1.35	1.3	1.4	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	3.05	1.95	1.35	1.8608045986294	1.95	1.35	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyphophoenix fulcita"	0	0	1	0	0	1	"1"	0	0	13	25	"canopy"	8	5.5	2.5	2.75	2.3	NA	NA	1.3	NA	NA	"small"	"globose"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	8.25	2.3	1.3	2.03522844075059	2.3	1.3	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyphophoenix nucele"	0	0	1	0	0	1	"1"	0	0	15	20	"canopy"	8	2	NA	NA	2.1	NA	NA	1.2	NA	NA	"small"	"globose"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	2.1	1.2	1.58336269740926	2.1	1.2	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyphosperma balansae"	0	0	1	0	0	1	"1"	0	0	15	20	"canopy"	20	3.4	3.1	0.33	1.25	NA	NA	1.1	1	1.2	"small"	"ovoid"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LC"	"LC"	"TRAIN"	NA	NA	NA	NA	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	0	3.73	1.25	1.1	0.791943148092427	1.25	1.1	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyphosperma naboutinense"	0	0	1	0	0	1	"1"	0	0	NA	NA	"NA"	NA	NA	NA	NA	1.3	NA	NA	0.8	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1.3	0.8	0.435634181297785	1.3	0.8	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cyphosperma tanga"	0	0	1	0	0	1	"1"	0	0	5	20	"understorey"	NA	3	NA	NA	0.9	NA	NA	0.6	NA	NA	"small"	"NA"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	0.9	0.6	0.169646003293849	0.9	0.6	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Cyphosperma trichospadix"	0	0	1	0	0	1	"1"	0	0	7	8	"canopy"	10	2.5	NA	NA	1.85	NA	NA	1.1	NA	NA	"small"	"ovoid"	"conspicuous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"NO_ML"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	1.85	1.1	1.17207585917679	1.85	1.1	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyphosperma voutmelense"	0	0	1	0	0	1	"1"	0	0	NA	NA	"NA"	NA	NA	NA	NA	2.3	NA	NA	1.5	NA	NA	"small"	"NA"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	NA	2.3	1.5	2.7096236637212	2.3	1.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cyrtostachys bakeri"	0	0	1	0	0	1	"0"	0	0	25	25	"canopy"	8	4.5	NA	0.1	1.35	0.9	2.5	0.5	0.3	0.5	"small"	"elongate"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.806"	"0.194"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	4.6	1.35	0.5	0.176714586764426	1.35	0.5	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyrtostachys barbata"	0	0	1	0	0	1	"1"	0	0	25	20	"canopy"	NA	3.48	NA	0.2	1.2	NA	NA	0.5	NA	NA	"small"	"ellipsoid"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NE"	"NE"	"NO_ML"	NA	NA	NA	"nonLC"	NA	NA	NA	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	3.68	1.2	0.5	0.15707963267949	1.2	0.5	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	NA	NA	"NO"	NA	NA	NA	NA	NA	NA
"Cyrtostachys elegans"	0	0	1	0	0	1	"0"	0	0	20	30	"canopy"	9	3.5	3.5	0.1	1.45	1.2	1.7	0.55	0.5	0.6	"small"	"ellipsoid"	"cryptic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"nonLC"	"nonLC"	"TRAIN"	NA	NA	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	3.6	1.45	0.55	0.229663512946804	1.45	0.55	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	NA	NA	NA	NA	NA
"Cyrtostachys excelsa"	0	0	1	0	0	1	"1"	0	0	25	15	"canopy"	7	3	NA	0.15	NA	NA	NA	NA	NA	NA	"NA"	"NA"	"NA"	0	0	0	0	0	0	1	0	0	0	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.956"	"0.044"	NA	NA	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	0	3.15	NA	NA	NA	NA	NA	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"
