"Region"	"Species"
"HON"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Asterogyne martiana, Astrocaryum alatum, Astrocaryum mexicanum, Attalea cohune, Attalea rostrata, Bactris gasipaes, Bactris major, Bactris mexicana, Bactris obovata, Brahea dulcis, Brahea salvadorensis, Calyptrogyne ghiesbreghtiana, Chamaedorea arenbergiana, Chamaedorea brachypoda, Chamaedorea castillo-montii, Chamaedorea costaricana, Chamaedorea elatior, Chamaedorea elegans, Chamaedorea ernesti-augusti, Chamaedorea frondosa, Chamaedorea geonomiformis, Chamaedorea moliniana, Chamaedorea neurochlamys, Chamaedorea nubium, Chamaedorea oblongata, Chamaedorea pinnatifrons, Chamaedorea sartorii, Chamaedorea schippii, Chamaedorea seifrizii, Chamaedorea tepejilote, Chamaedorea tuerckheimii, Chamaedorea woodsoniana, Cocos nucifera, Colpothrinax cookii, Cryosophila stauracantha, Cryosophila warscewiczii, Cryosophila williamsii, Desmoncus chinantlensis, Elaeis oleifera, Euterpe precatoria, Geonoma congesta, Geonoma deversa, Geonoma interrupta, Geonoma pinnatifrons, Geonoma undata, Manicaria saccifera, Neonicholsonia watsonii, Reinhardtia elegans, Reinhardtia gracilis, Reinhardtia koschnyana, Reinhardtia latisecta, Reinhardtia simplex, Roystonea dunlapiana, Roystonea regia, Sabal mauritiiformis, Sabal mexicana, Syagrus romanzoffiana, Synechanthus fibrosus, Thrinax radiata, Welfia regia"
"HUN"	"NA"
"ICE"	"NA"
"IDA"	"NA"
"ILL"	"NA"
"IND"	"Areca catechu, Arenga pinnata, Arenga wightii, Bentinckia condapanna, Borassus flabellifer, Calamus brandisii, Calamus gamblei, Calamus gracilis, Calamus guruba, Calamus hookerianus, Calamus karnatakensis, Calamus lakshmanae, Calamus metzianus, Calamus nagbettai, Calamus rheedei, Calamus rotang, Calamus stolonifer, Calamus tenuis, Calamus thwaitesii, Calamus vattayila, Calamus viminalis, Calamus wightii, Caryota urens, Cocos nucifera, Corypha taliera, Corypha umbraculifera, Hyphaene dichotoma, Licuala peltata, Nypa fruticans, Phoenix acaulis, Phoenix dactylifera, Phoenix loureiroi, Phoenix paludosa, Phoenix pusilla, Phoenix sylvestris, Pinanga dicksonii"
"INI"	"NA"
"IOW"	"NA"
"IRE"	"NA"
"IRK"	"NA"
"IRN"	"Nannorrhops baluchestanica, Nannorrhops ritchieana, Phoenix dactylifera"
"IRQ"	"Phoenix dactylifera"
"ITA"	"Chamaerops humilis, Phoenix canariensis, Trachycarpus fortunei, Washingtonia filifera, Washingtonia robusta"
"IVO"	"Borassus aethiopum, Borassus akeassii, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha dransfieldii, Eremospatha macrocarpa, Hyphaene thebaica, Laccosperma acutiflorum, Laccosperma laeve, Laccosperma opacum, Laccosperma secundiflorum, Phoenix reclinata, Raphia farinifera, Raphia hookeri, Raphia palma-pinus, Raphia sudanica"
"JAM"	"Acrocomia aculeata, Areca catechu, Bactris jamaicana, Calyptronoma occidentalis, Coccothrinax jamaicensis, Cocos nucifera, Dypsis lutescens, Roystonea altissima, Roystonea princeps, Sabal maritima, Thrinax excelsa, Thrinax parviflora"
"JAP"	"Arenga ryukyuensis, Livistona chinensis, Rhapis excelsa, Rhapis humilis, Trachycarpus fortunei"
"JAW"	"Areca catechu, Areca montana, Arenga obtusifolia, Arenga porphyrocarpa, Borassus flabellifer, Calamus adspersus, Calamus asperrimus, Calamus burckianus, Calamus ciliaris, Calamus glaucescens, Calamus heteroideus, Calamus javensis, Calamus melanochaetes, Calamus melanoloma, Calamus oblongus, Calamus occidentalis, Calamus ornatus, Calamus parutan, Calamus polystachys, Calamus pseudoconcolor, Calamus reinwardtii, Calamus rhomboideus, Calamus ruber, Calamus sedisspirituum, Calamus tenuis, Calamus unifarius, Calamus viminalis, Caryota maxima, Caryota mitis, Cocos nucifera, Corypha utan, Korthalsia junghuhnii, Korthalsia laciniosa, Lanonia gracilis, Licuala pumila, Licuala spectabilis, Licuala spinosa, Livistona chinensis, Livistona saribus, Metroxylon sagu, Nenga pumila, Nypa fruticans, Oncosperma tigillarium, Orania sylvicola, Pinanga coronata, Pinanga javana, Plectocomia elongata, Plectocomia longistigma, Rhapis humilis, Salacca zalacca, Saribus rotundifolius"
"JNF"	"Juania australis"
"KAM"	"NA"
"KAN"	"NA"
"KAZ"	"NA"
"KEG"	"NA"
"KEN"	"Borassus aethiopum, Cocos nucifera, Elaeis guineensis, Hyphaene compressa, Hyphaene coriacea, Hyphaene reptans, Phoenix reclinata, Raphia farinifera"
"KER"	"Rhopalostylis baueri"
"KGZ"	"NA"
"KHA"	"NA"
"KOR"	"NA"
"KRA"	"NA"
"KRI"	"Phoenix theophrasti, Washingtonia filifera"
"KRY"	"NA"
"KTY"	"NA"
"KUR"	"NA"
"KUW"	"NA"
"KZN"	"Livistona boninensis"
"LAB"	"NA"
"LAO"	"Areca catechu, Areca laosensis, Areca triandra, Arenga caudata, Arenga westerhoutii, Borassus flabellifer, Calamus acanthophyllus, Calamus acanthospathus, Calamus bimanifer, Calamus erectus, Calamus evansii, Calamus flagellum, Calamus godefroyi, Calamus gracilis, Calamus harmandii, Calamus henryanus, Calamus inermis, Calamus jenkinsianus, Calamus laoensis, Calamus latifolius, Calamus minor, Calamus nitidus, Calamus oligostachys, Calamus poilanei, Calamus rhabdocladus, Calamus rudentum, Calamus tenuis, Calamus tetradactylus, Calamus viminalis, Caryota maxima, Caryota mitis, Caryota obtusa, Caryota sympetala, Corypha lecomtei, Corypha utan, Korthalsia laciniosa, Korthalsia minor, Lanonia centralis, Livistona saribus, Myrialepis paradoxa, Phoenix loureiroi, Phoenix roebelenii, Pinanga sylvestris, Plectocomia himalayana, Plectocomia pierreana, Plectocomiopsis geminiflora, Rhapis evansii, Rhapis laosensis, Rhapis subtilis, Salacca wallichiana, Trachycarpus ravenii, Wallichia disticha"
"LBR"	"Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha hookeri, Eremospatha laurentii, Eremospatha macrocarpa, Hyphaene guineensis, Laccosperma acutiflorum, Laccosperma laeve, Laccosperma opacum, Laccosperma secundiflorum, Phoenix reclinata, Raphia hookeri, Raphia palma-pinus, Sclerosperma mannii"
"LBS"	"NA"
"LBY"	"Chamaerops humilis, Hyphaene thebaica, Phoenix dactylifera"
"LDV"	"Cocos nucifera"
"LEE"	"Acrocomia aculeata, Acrocomia media, Adonidia merrillii, Areca catechu, Coccothrinax alta, Coccothrinax barbadensis, Cocos nucifera, Dypsis lutescens, Geonoma pinnatifrons, Geonoma undata, Leucothrinax morrisii, Phoenix dactylifera, Phoenix reclinata, Phoenix rupicola, Phoenix sylvestris, Prestoea acuminata, Roystonea borinquena, Roystonea oleracea, Roystonea regia, Sabal bermudana, Sabal causiarum, Syagrus amara"
"LES"	"NA"
"LIN"	"Cocos nucifera"
"LOU"	"Sabal minor, Serenoa repens"
"LSI"	"Areca catechu, Arenga pinnata, Borassus flabellifer, Calamus adspersus, Calamus melanochaetes, Calamus parutan, Calamus sumbawensis, Calamus timorensis, Calamus unifarius, Calamus viminalis, Caryota mitis, Cocos nucifera, Corypha utan, Nypa fruticans, Pinanga arinasae, Pinanga coronata, Salacca zalacca, Saribus rotundifolius"
"MAG"	"NA"
"MAI"	"NA"
"MAN"	"NA"
"MAQ"	"NA"
"MAS"	"NA"
"MAU"	"Acanthophoenix rubra, Cocos nucifera, Dictyosperma album, Dypsis madagascariensis, Hyophorbe lagenicaulis, Hyophorbe vaughanii, Latania loddigesii, Livistona chinensis, Phoenix dactylifera, Phoenix sylvestris, Raphia farinifera, Roystonea oleracea, Syagrus romanzoffiana, Tectiphiala ferox"
"MCI"	"Cocos nucifera, Hyphaene coriacea, Phoenix dactylifera"
"MCS"	"Cocos nucifera"
"MDG"	"Beccariophoenix alfredii, Beccariophoenix fenestralis, Beccariophoenix madagascariensis, Bismarckia nobilis, Borassus aethiopum, Borassus madagascariensis, Cocos nucifera, Dypsis acaulis, Dypsis acuminum, Dypsis albofarinosa, Dypsis ambanjae, Dypsis ambilaensis, Dypsis ambositrae, Dypsis andapae, Dypsis andilamenensis, Dypsis andrianatonga, Dypsis angusta, Dypsis angustifolia, Dypsis anjae, Dypsis ankaizinensis, Dypsis ankirindro, Dypsis antanambensis, Dypsis aquatilis, Dypsis arenarum, Dypsis baronii, Dypsis basilonga, Dypsis beentjei, Dypsis bejofo, Dypsis bernieriana, Dypsis betamponensis, Dypsis betsimisarakae, Dypsis boiviniana, Dypsis bonsai, Dypsis bosseri, Dypsis brevicaulis, Dypsis brittiana, Dypsis canaliculata, Dypsis carlsmithii, Dypsis catatiana, Dypsis caudata, Dypsis ceracea, Dypsis commersoniana, Dypsis concinna, Dypsis confusa, Dypsis cookei, Dypsis coriacea, Dypsis corniculata, Dypsis coursii, Dypsis crinita, Dypsis culminis, Dypsis curtisii, Dypsis decaryi, Dypsis decipiens, Dypsis delicatula, Dypsis digitata, Dypsis dracaenoides, Dypsis dransfieldii, Dypsis elegans, Dypsis eriostachys, Dypsis faneva, Dypsis fanjana, Dypsis fasciculata, Dypsis fibrosa, Dypsis forficifolia, Dypsis furcata, Dypsis gautieri, Dypsis glabrescens, Dypsis gronophyllum, Dypsis henrici, Dypsis heteromorpha, Dypsis heterophylla, Dypsis hiarakae, Dypsis hildebrandtii, Dypsis hovomantsina, Dypsis humbertii, Dypsis humilis, Dypsis ifanadianae, Dypsis integra, Dypsis intermedia, Dypsis interrupta, Dypsis jeremiei, Dypsis jumelleana, Dypsis laevis, Dypsis lantzeana, Dypsis lanuginosa, Dypsis lastelliana, Dypsis leptocheilos, Dypsis leucomalla, Dypsis lilacina, Dypsis linearis, Dypsis lokohoensis, Dypsis louvelii, Dypsis lutea, Dypsis lutescens, Dypsis madagascariensis, Dypsis mahia, Dypsis makirae, Dypsis malcomberi, Dypsis mananjarensis, Dypsis mangorensis, Dypsis marojejyi, Dypsis mcdonaldiana, Dypsis metallica, Dypsis minuta, Dypsis mirabilis, Dypsis mocquerysiana, Dypsis montana, Dypsis moorei, Dypsis nauseosa, Dypsis nodifera, Dypsis nossibensis, Dypsis occidentalis, Dypsis onilahensis, Dypsis oreophila, Dypsis oropedionis, Dypsis ovobontsira, Dypsis pachyramea, Dypsis paludosa, Dypsis perrieri, Dypsis pervillei, Dypsis pilulifera, Dypsis pinnatifrons, Dypsis plumosa, Dypsis poivreana, Dypsis prestoniana, Dypsis procera, Dypsis procumbens, Dypsis psammophila, Dypsis pulchella, Dypsis pumila, Dypsis pusilla, Dypsis pustulata, Dypsis rakotonasoloi, Dypsis ramentacea, Dypsis reflexa, Dypsis remotiflora, Dypsis rivularis, Dypsis robusta, Dypsis rosea, Dypsis sahanofensis, Dypsis saintelucei, Dypsis sancta, Dypsis sanctaemariae, Dypsis scandens, Dypsis schatzii, Dypsis scottiana, Dypsis serpentina, Dypsis simianensis, Dypsis singularis, Dypsis soanieranae, Dypsis spicata, Dypsis subacaulis, Dypsis tanalensis, Dypsis tenuissima, Dypsis thermarum, Dypsis thiryana, Dypsis thouarsiana, Dypsis tokoravina, Dypsis trapezoidea, Dypsis tsaratananensis, Dypsis tsaravoasira, Dypsis turkii, Dypsis utilis, Dypsis viridis, Dypsis vonitrandambo, Elaeis guineensis, Hyphaene coriacea, Lemurophoenix halleuxii, Marojejya darianii, Marojejya insignis, Masoala kona, Masoala madagascariensis, Orania longisquama, Orania ravaka, Orania trispatha, Phoenix reclinata, Raphia farinifera, Ravenea albicans, Ravenea beentjei, Ravenea declivium, Ravenea delicatula, Ravenea dransfieldii, Ravenea glauca, Ravenea hypoleuca, Ravenea julietiae, Ravenea krociana, Ravenea lakatra, Ravenea latisecta, Ravenea louvelii, Ravenea madagascariensis, Ravenea musicalis, Ravenea nana, Ravenea rivularis, Ravenea robustior, Ravenea sambiranensis, Ravenea xerophila, Satranala decussilvae, Tahina spectabilis, Voanioala gerardii"
"MDR"	"Phoenix dactylifera, Washingtonia filifera"
"MDV"	"Areca catechu, Cocos nucifera"
"MIC"	"NA"
"MIN"	"NA"
"MLI"	"Borassus aethiopum, Borassus akeassii, Hyphaene thebaica, Phoenix dactylifera, Raphia sudanica"
"MLW"	"Borassus aethiopum, Elaeis guineensis, Hyphaene petersiana, Phoenix reclinata, Raphia farinifera"
"MLY"	"Actinorhytis calapparia, Areca catechu, Areca montana, Areca ridleyana, Areca triandra, Areca tunku, Arenga caudata, Arenga hastata, Arenga hookeriana, Arenga obtusifolia, Arenga pinnata, Arenga westerhoutii, Borassodendron machadonis, Borassus flabellifer, Calamus angustifolius, Calamus axillaris, Calamus balingensis, Calamus brachypodus, Calamus burkillianus, Calamus caesius, Calamus calicarpus, Calamus calospathus, Calamus castaneus, Calamus cockburnii, Calamus concinnus, Calamus conirostris, Calamus corneri, Calamus densiflorus, Calamus didymophyllus, Calamus diepenhorstii, Calamus draco, Calamus erinaceus, Calamus erioacanthus, Calamus exilis, Calamus filipendulus, Calamus flabellatus, Calamus geniculatus, Calamus georgei, Calamus grandis, Calamus griseus, Calamus helferianus, Calamus hirsutus, Calamus holttumii, Calamus insignis, Calamus javensis, Calamus kunstleri, Calamus latifolius, Calamus laxissimus, Calamus leptopus, Calamus lewisianus, Calamus lobbianus, Calamus longipes, Calamus longisetus, Calamus longispatha, Calamus macrophyllus, Calamus manan, Calamus melanochaetes, Calamus micracanthus, Calamus micranthus, Calamus minutus, Calamus monticola, Calamus moorhousei, Calamus nitidus, Calamus oligophyllus, Calamus ornatus, Calamus oxleyanus, Calamus padangensis, Calamus pandanosmus, Calamus paspalanthus, Calamus penicillatus, Calamus perakensis, Calamus peregrinus, Calamus periacanthus, Calamus plicatus, Calamus polystachys, Calamus pycnocarpus, Calamus radulosus, Calamus rhomboideus, Calamus ridleyanus, Calamus rugosus, Calamus sabut, Calamus scabridulus, Calamus scapigerus, Calamus scipionum, Calamus sedens, Calamus senalingensis, Calamus sepal, Calamus simplex, Calamus spectatissimus, Calamus subangulatus, Calamus tanakadatei, Calamus tumidus, Calamus ursinus, Calamus verticillaris, Calamus viminalis, Calamus whitmorei, Caryota maxima, Caryota mitis, Caryota urens, Cocos nucifera, Corypha utan, Cyrtostachys renda, Elaeis guineensis, Eleiodoxa conferta, Eugeissona brachystachys, Eugeissona tristis, Iguanura asli, Iguanura belumensis, Iguanura bicornis, Iguanura cemurung, Iguanura corniculata, Iguanura diffusa, Iguanura geonomiformis, Iguanura humilis, Iguanura kelantanensis, Iguanura mirabilis, Iguanura parvula, Iguanura perdana, Iguanura piahensis, Iguanura polymorpha, Iguanura speciosa, Iguanura wallichiana, Johannesteijsmannia altifrons, Johannesteijsmannia lanceolata, Johannesteijsmannia magnifica, Johannesteijsmannia perakensis, Korthalsia echinometra, Korthalsia flagellaris, Korthalsia hispida, Korthalsia laciniosa, Korthalsia lanceolata, Korthalsia rigida, Korthalsia rostrata, Korthalsia scortechinii, Korthalsia tenuissima, Licuala acutifida, Licuala ahlidurii, Licuala bayana, Licuala cameronensis, Licuala corneri, Licuala egregia, Licuala ferruginea, Licuala fractiflexa, Licuala glabra, Licuala grandis, Licuala kamarudinii, Licuala kemamanensis, Licuala khoonmengii, Licuala kiahii, Licuala kingiana, Licuala kunstleri, Licuala lanuginosa, Licuala longicalycata, Licuala longipes, Licuala malajana, Licuala mirabilis, Licuala modesta, Licuala moyseyi, Licuala mustapana, Licuala pahangensis, Licuala palas, Licuala paludosa, Licuala patens, Licuala peltata, Licuala pusilla, Licuala ridleyana, Licuala ruthiae, Licuala sallehana, Licuala scortechinii, Licuala spinosa, Licuala stongensis, Licuala tenuissima, Licuala terengganuensis, Licuala thoana, Licuala tiomanensis, Licuala triphylla, Licuala whitmorei, Livistona endauensis, Livistona saribus, Livistona speciosa, Livistona tahanensis, Maxburretia gracilis, Maxburretia rupicola, Metroxylon sagu, Myrialepis paradoxa, Nenga grandiflora, Nenga macrocarpa, Nenga pumila, Nypa fruticans, Oncosperma horridum, Oncosperma tigillarium, Orania sylvicola, Phoenix paludosa, Pholidocarpus kingianus, Pholidocarpus macrocarpus, Pinanga acaulis, Pinanga adangensis, Pinanga auriculata, Pinanga badia, Pinanga brewsteriana, Pinanga cleistantha, Pinanga disticha, Pinanga glaucescens, Pinanga jamariensis, Pinanga johorensis, Pinanga limosa, Pinanga malaiana, Pinanga palustris, Pinanga pantiensis, Pinanga paradoxa, Pinanga pectinata, Pinanga perakensis, Pinanga polymorpha, Pinanga riparia, Pinanga sarmentosa, Pinanga scortechinii, Pinanga sembilan, Pinanga simplicifrons, Pinanga singaporensis, Pinanga subintegra, Pinanga subruminata, Plectocomia dransfieldiana, Plectocomia elongata, Plectocomia mulleri, Plectocomiopsis corneri, Plectocomiopsis geminiflora, Plectocomiopsis mira, Plectocomiopsis wrayi, Rhopaloblaste singaporensis, Salacca affinis, Salacca flabellata, Salacca glabrescens, Salacca graciliflora, Salacca minuta, Salacca multiflora, Salacca wallichiana, Salacca zalacca, Saribus rotundifolius"
"MNT"	"NA"
"MOL"	"Areca catechu, Areca macrocalyx, Areca vestiaria, Arenga microcarpa, Arenga pinnata, Calamus albus, Calamus aruensis, Calamus beguinii, Calamus calapparius, Calamus cawa, Calamus equestris, Calamus halmaherensis, Calamus heteracanthus, Calamus niger, Calamus robinsonianus, Calamus rumphii, Calamus symphysipus, Calamus usitatus, Calamus validus, Calamus vitiensis, Calamus warburgii, Calamus zollingeri, Calyptrocalyx spicatus, Caryota rumphiana, Cocos nucifera, Corypha utan, Drymophloeus litigiosus, Drymophloeus oliviformis, Heterospathe elata, Heterospathe glauca, Hydriastele beguinii, Hydriastele microcarpa, Hydriastele moluccana, Hydriastele oxypetala, Jailoloa halmaherensis, Korthalsia celebica, Licuala adscendens, Licuala flexuosa, Licuala rumphii, Metroxylon sagu, Nypa fruticans, Orania palindan, Pholidocarpus ihur, Pigafetta filaris, Pinanga globulifera, Pinanga rumphiana, Ptychosperma propinquum, Rhopaloblaste ceramica, Salacca zalacca, Saribus rotundifolius"
"MON"	"NA"
"MOR"	"Chamaerops humilis, Phoenix dactylifera"
"MOZ"	"Borassus aethiopum, Cocos nucifera, Elaeis guineensis, Hyphaene compressa, Hyphaene coriacea, Hyphaene petersiana, Phoenix reclinata, Raphia australis, Raphia farinifera"
"MPE"	"NA"
"MRN"	"Areca catechu, Cocos nucifera, Heterospathe elata, Livistona chinensis, Metroxylon amicarum, Nypa fruticans"
"MRQ"	"Cocos nucifera, Pelagodoxa henryana, Pritchardia pacifica"
"MRS"	"Cocos nucifera, Pritchardia pacifica"
"MRY"	"NA"
"MSI"	"Rhapidophyllum hystrix, Sabal minor, Serenoa repens"
"MSO"	"NA"
"MTN"	"Borassus flabellifer, Hyphaene thebaica, Phoenix dactylifera, Raphia sudanica"
"MXC"	"Brahea calcarea, Brahea dulcis, Chamaedorea elatior, Chamaedorea elegans, Chamaedorea liebmannii, Chamaedorea oblongata, Chamaedorea sartorii, Chamaedorea schiedeana, Sabal pumos"
"MXE"	"Brahea aculeata, Brahea decumbens, Brahea dulcis, Brahea moorei, Chamaedorea elegans, Chamaedorea microspadix, Chamaedorea oblongata, Chamaedorea radicalis, Sabal mexicana, Sabal minor, Sabal pumos, Sabal uresana, Washingtonia filifera, Washingtonia robusta"
"MXG"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Astrocaryum mexicanum, Attalea rostrata, Bactris major, Bactris mexicana, Brahea dulcis, Calyptrogyne ghiesbreghtiana, Chamaedorea alternans, Chamaedorea arenbergiana, Chamaedorea elatior, Chamaedorea elegans, Chamaedorea ernesti-augusti, Chamaedorea geonomiformis, Chamaedorea hooperiana, Chamaedorea klotzschiana, Chamaedorea liebmannii, Chamaedorea metallica, Chamaedorea microspadix, Chamaedorea oblongata, Chamaedorea oreophila, Chamaedorea pinnatifrons, Chamaedorea sartorii, Chamaedorea schiedeana, Chamaedorea tepejilote, Chamaedorea tuerckheimii, Chamaedorea woodsoniana, Desmoncus chinantlensis, Gaussia gomez-pompae, Geonoma interrupta, Reinhardtia gracilis, Roystonea regia, Sabal mauritiiformis, Sabal mexicana, Synechanthus fibrosus"
"MXI"	"Brahea edulis"
"MXN"	"Brahea aculeata, Brahea armata, Brahea brandegeei, Brahea calcarea, Brahea dulcis, Chamaedorea pochutlensis, Cryosophila nana, Phoenix dactylifera, Sabal rosei, Sabal uresana, Washingtonia filifera, Washingtonia robusta"
"MXS"	"Acrocomia aculeata, Astrocaryum mexicanum, Attalea cohune, Attalea guacuyule, Attalea rostrata, Bactris major, Bactris mexicana, Brahea calcarea, Brahea dulcis, Brahea pimo, Brahea sarukhanii, Chamaedorea arenbergiana, Chamaedorea atrovirens, Chamaedorea cataractarum, Chamaedorea elatior, Chamaedorea elegans, Chamaedorea ernesti-augusti, Chamaedorea foveata, Chamaedorea geonomiformis, Chamaedorea liebmannii, Chamaedorea metallica, Chamaedorea nubium, Chamaedorea oblongata, Chamaedorea oreophila, Chamaedorea pinnatifrons, Chamaedorea pochutlensis, Chamaedorea pygmaea, Chamaedorea queroana, Chamaedorea rhizomatosa, Chamaedorea rigida, Chamaedorea rojasiana, Chamaedorea sartorii, Chamaedorea schiedeana, Chamaedorea tepejilote, Chamaedorea tuerckheimii, Chamaedorea whitelockiana, Chamaedorea woodsoniana, Cocos nucifera, Cryosophila nana, Desmoncus chinantlensis, Gaussia gomez-pompae, Geonoma interrupta, Geonoma pinnatifrons, Reinhardtia elegans, Reinhardtia gracilis, Sabal mauritiiformis, Sabal mexicana, Sabal pumos, Sabal rosei, Synechanthus fibrosus"
"MXT"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Astrocaryum mexicanum, Attalea cohune, Attalea rostrata, Bactris major, Bactris mexicana, Brahea calcarea, Calyptrogyne ghiesbreghtiana, Chamaedorea arenbergiana, Chamaedorea benziei, Chamaedorea cataractarum, Chamaedorea costaricana, Chamaedorea elatior, Chamaedorea elegans, Chamaedorea ernesti-augusti, Chamaedorea foveata, Chamaedorea fractiflexa, Chamaedorea geonomiformis, Chamaedorea glaucifolia, Chamaedorea ibarrae, Chamaedorea keelerorum, Chamaedorea liebmannii, Chamaedorea neurochlamys, Chamaedorea nubium, Chamaedorea oblongata, Chamaedorea parvisecta, Chamaedorea pinnatifrons, Chamaedorea plumosa, Chamaedorea rojasiana, Chamaedorea schippii, Chamaedorea seifrizii, Chamaedorea simplex, Chamaedorea stolonifera, Chamaedorea stricta, Chamaedorea tepejilote, Chamaedorea vulgata, Chamaedorea whitelockiana, Chamaedorea woodsoniana, Coccothrinax readii, Cocos nucifera, Cryosophila nana, Cryosophila stauracantha, Desmoncus chinantlensis, Gaussia gomez-pompae, Gaussia maya, Geonoma interrupta, Geonoma pinnatifrons, Geonoma undata, Pseudophoenix sargentii, Reinhardtia elegans, Reinhardtia gracilis, Reinhardtia simplex, Roystonea dunlapiana, Roystonea regia, Sabal gretherae, Sabal mauritiiformis, Sabal mexicana, Sabal yapa, Synechanthus fibrosus, Thrinax radiata"
"MYA"	"Areca triandra, Arenga caudata, Arenga pinnata, Arenga westerhoutii, Borassodendron machadonis, Borassus flabellifer, Calamus acanthospathus, Calamus arborescens, Calamus concinnus, Calamus erectus, Calamus flagellum, Calamus floribundus, Calamus gracilis, Calamus helferianus, Calamus henryanus, Calamus hukaungensis, Calamus inermis, Calamus javensis, Calamus jenkinsianus, Calamus kingianus, Calamus kurzianus, Calamus latifolius, Calamus leptospadix, Calamus longisetus, Calamus melanacanthos, Calamus micranthus, Calamus myrianthus, Calamus nitidus, Calamus peregrinus, Calamus platyspathus, Calamus rudentum, Calamus tenuis, Calamus viminalis, Caryota maxima, Caryota mitis, Caryota obtusa, Caryota urens, Cocos nucifera, Corypha taliera, Corypha umbraculifera, Corypha utan, Korthalsia laciniosa, Licuala merguensis, Licuala peltata, Licuala spinosa, Livistona jenkinsiana, Livistona speciosa, Myrialepis paradoxa, Nypa fruticans, Phoenix loureiroi, Phoenix paludosa, Phoenix roebelenii, Phoenix sylvestris, Pinanga acuminata, Pinanga auriculata, Pinanga gracilis, Pinanga griffithii, Pinanga hexasticha, Pinanga hymenospatha, Pinanga lacei, Pinanga plicata, Pinanga simplicifrons, Pinanga sylvestris, Pinanga tomentosa, Pinanga versicolor, Plectocomia assamica, Plectocomia elongata, Plectocomia macrostachya, Plectocomiopsis geminiflora, Salacca griffithii, Salacca secunda, Salacca wallichiana, Trachycarpus fortunei, Trachycarpus martianus, Wallichia caryotoides, Wallichia disticha, Wallichia lidiae, Wallichia oblongifolia"
"NAM"	"Hyphaene petersiana, Phoenix reclinata"
"NAT"	"Hyphaene coriacea, Jubaeopsis caffra, Livistona chinensis, Phoenix reclinata, Raphia australis"
"NBR"	"NA"
"NCA"	"Cocos nucifera, Sabal minor, Sabal palmetto"
"NCB"	"Areca catechu, Areca triandra, Bentinckia nicobarica, Calamus andamanicus, Calamus dilaceratus, Calamus latifolius, Calamus longisetus, Calamus nicobaricus, Calamus unifarius, Calamus viminalis, Caryota mitis, Cocos nucifera, Elaeis guineensis, Korthalsia laciniosa, Licuala peltata, Licuala spinosa, Nypa fruticans, Phoenix paludosa, Pinanga manii, Rhopaloblaste augusta"
"NCS"	"NA"
"NDA"	"NA"
"NEB"	"NA"
"NEP"	"Calamus acanthospathus, Calamus erectus, Calamus latifolius, Calamus leptospadix, Caryota urens, Phoenix acaulis, Phoenix loureiroi, Phoenix sylvestris, Pinanga gracilis, Plectocomia himalayana, Trachycarpus martianus, Wallichia oblongifolia"
"NET"	"NA"
"NEV"	"Washingtonia filifera"
"NFK"	"Hedyscepe canterburyana, Howea belmoreana, Howea forsteriana, Lepidorrhachis mooreana, Phoenix canariensis, Rhopalostylis baueri"
"NFL"	"NA"
"NGA"	"Borassus aethiopum, Borassus akeassii, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha hookeri, Eremospatha laurentii, Eremospatha macrocarpa, Eremospatha quinquecostulata, Eremospatha wendlandiana, Hyphaene thebaica, Laccosperma acutiflorum, Laccosperma opacum, Laccosperma robustum, Laccosperma secundiflorum, Nypa fruticans, Oncocalamus tuleyi, Oncocalamus wrightianus, Phoenix reclinata, Podococcus barteri, Raphia africana, Raphia farinifera, Raphia hookeri, Raphia longiflora, Raphia mambillensis, Raphia mannii, Raphia monbuttorum, Raphia regalis, Raphia sudanica, Raphia taedigera, Raphia vinifera, Sclerosperma mannii"
"NGR"	"Borassus aethiopum, Borassus akeassii, Calamus deerratus, Hyphaene thebaica, Laccosperma secundiflorum, Raphia sudanica"
